RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
83.6941223144531,-4.48345708847046,b'2M05344659-0429004',3209638547887275776,b'*',1,4937.98,60.3775,4.85559,0.0860433,b' ',30.3268,0.263935,2.092919,0.0,0.45,0.0
83.2889099121094,-4.48199081420898,b'2M05330933-0428551',3209811652247750912,b'*',1,5327.28,75.9839,3.93014,0.172655,b' ',56.4024,0.362376,0.83386,0.027116,2.45,0.05
84.0350036621094,-4.4812798500061,b'2M05360840-0428526',3215593567284133248,b' ',4,3265.48,27.5648,4.16524,0.108174,b' ',29.8239,0.31854,0.0,0.0,0.0,0.0
83.8449096679688,-4.48085498809815,b'2M05352277-0428510',3209637895052204800,b'*',1,3989.1,16.0299,4.52855,0.0766494,b' ',29.7229,0.292123,0.0,0.0,0.0,0.0
83.581672668457,-4.47848606109619,b'2M05341960-0428425',3209645419834968448,b'*',1,6983.97,311.025,5.92592,0.20733,b'<',1.00263,0.0,1.601481,0.01736,1.85,0.0500002
83.5759963989258,-4.47623586654663,b'2M05341823-0428344',3209645037579148672,b' ',1,4598.24,23.5004,4.54524,0.0626371,b' ',26.0816,0.318238,5.734599,0.36401,0.35,0.25
83.4855346679688,-4.47619676589966,b'2M05335652-0428343',3209646691145168256,b' ',4,3830.72,46.9629,5.1115,0.140602,b' ',0.0371,0.486664,0.0,0.0,0.0,0.0
84.2113189697266,-4.47444581985474,b'2M05365071-0428280',3215591372558085504,b'*',4,5346.82,53.4004,4.18641,0.0931218,b' ',-5.8672,0.178709,2.432537,0.193235,2.5,0.25
83.5408554077148,-4.47208786010742,b'2M05340980-0428195',3209645282396020864,b'*',4,6566.23,394.298,4.98483,0.148799,b' ',53.798,0.557409,3.414355,0.063521,2.35,0.0500002
83.2073822021484,-4.47138595581055,b'2M05324977-0428169',3209812236363311232,b'*',1,6513.14,374.838,4.95058,0.153182,b' ',35.1001,0.521629,7.069753,0.0,1.6,0.0
83.7175979614258,-4.47115421295166,b'2M05345222-0428161',3209638685326214912,b'*',1,4015.81,19.6899,4.53098,0.0799899,b' ',30.3522,0.367413,0.821195,0.030133,1.0,0.15
83.315055847168,-4.46925115585327,b'2M05331561-0428093',3209835085589314688,b'*',1,5815.91,130.964,4.92489,0.146383,b' ',57.426,0.405512,2.656155,0.06071,0.5,0.05
84.0207443237305,-4.46827220916748,b'2M05360497-0428057',3215640506983983872,b'*',1,5964.85,145.331,4.59722,0.193773,b' ',73.6068,0.325975,1.445748,0.109073,1.9,0.05
