ID,_RAJ2000,_DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Ndet,Dt,F139,Note
296,83.84468366,-5.41828165,-1.01,0.16,1.01,0.96,3,10.5,13.31,
297,83.84604654,-5.41674544,0.17,0.16,-0.97,0.12,3,19.9,13.13,
298,83.83508492,-5.39158519,-0.66,0.22,0.02,0.07,6,19.3,12.36,
299,83.85774551,-5.36717826,-1.22,0.46,1.19,0.13,3,11,15.71,
300,83.84481419,-5.36601501,0.54,0.12,0.54,0.07,4,16.9,14.56,
301,83.85304673,-5.35939629,-0.86,0.2,0.55,0.08,4,16.9,15.91,
302,83.84461023,-5.36142624,0.21,0.21,-0.6,0.12,3,11,15.1,
303,83.84285404,-5.36180922,-0.01,0.07,-0.62,0.25,3,11,14.36,
304,83.84952756,-5.35516121,0.13,0.06,1.45,0.33,3,11,13.82,
305,83.8485992,-5.35453648,-0.36,0.37,-1.45,0.31,3,11,15.42,
306,83.82982746,-5.36211197,-0.29,0.09,-1.33,0.14,5,20.1,14.21,
307,83.83685111,-5.35378369,-0.36,0.12,0.71,0.11,3,11,15.89,
308,83.82072284,-5.35816022,-0.62,0.35,0.67,0.17,5,20.1,14.89,
309,83.81931969,-5.35858696,0.17,0.15,-0.18,0.03,5,20.1,14.66,
310,83.83751595,-5.34533133,-1.43,0.15,-0.92,0.23,4,16.9,15.26,
311,83.82883489,-5.34683248,-0.21,0.17,1.55,0.05,4,16.9,15.2,
312,83.81888997,-5.34454857,-1.37,0.07,1.37,0.3,4,16.9,15.01,
313,83.81256689,-5.34792571,0.11,0.27,-0.05,0.14,5,20.1,15.76,
314,83.81319425,-5.3467218,-0.37,0.03,1.03,0.07,5,20.1,15.88,
315,83.80900529,-5.33986606,0.96,0.02,-2.4,0.19,3,20.1,14.91,
316,83.80356924,-5.35138078,-1.26,0.05,-1.36,0.17,5,20.1,15.07,
317,83.80420333,-5.34799555,0.43,0.13,0.08,0.47,5,20.1,15.92,
318,83.8065929,-5.34423314,0,0.22,-2.03,0,3,11,14.66,
319,83.811305,-5.35175065,-0.58,0.02,-0.82,0.05,5,20.1,12.89,
320,83.85939847,-5.35521759,-0.65,0.06,-0.63,0.33,4,16.9,15.13,
